monotonic_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,mx_gauss,my_gauss,mz_gauss,roll_deg,pitch_deg,yaw_deg
26936.674742,0.00837,0.13400,-10.08096,-12.8100,8.9950,3.0625,-0.82273,-0.23171,1.11737,-165.742,14.282,-76.474
26936.773686,0.01316,0.12921,-10.08934,-12.9150,8.9775,3.0275,-0.82273,-0.23171,1.11737,-166.192,13.925,-76.602
26936.773686,0.01077,0.12443,-10.07857,-12.8975,9.1000,2.9575,-0.82273,-0.23171,1.11737,-166.631,13.573,-76.724
26936.773686,0.01555,0.12921,-10.08096,-13.0025,8.8725,3.0975,-0.82273,-0.23171,1.11737,-167.062,13.229,-76.843
26936.773686,0.00957,0.12802,-10.08934,-13.0550,8.9250,3.0800,-0.82273,-0.23171,1.11737,-167.485,12.891,-76.957
26936.773686,0.00837,0.13280,-10.07737,-12.9675,8.8725,3.0450,-0.82273,-0.23171,1.11737,-167.897,12.559,-77.067
26936.773686,0.00957,0.13400,-10.08096,-13.0025,9.0125,3.0800,-0.82273,-0.23171,1.11737,-168.301,12.230,-77.173
26936.773686,0.00837,0.12802,-10.08575,-12.8975,9.0125,3.1150,-0.82273,-0.23171,1.11737,-168.695,11.908,-77.275
26936.773686,0.00837,0.13280,-10.08216,-12.8450,8.9075,3.1675,-0.82273,-0.23171,1.11737,-169.081,11.592,-77.375
26936.773686,0.00598,0.12562,-10.08335,-12.9850,8.9425,3.0275,-0.82070,-0.23287,1.12114,-169.458,11.282,-77.469
26936.773686,0.00598,0.12084,-10.07737,-12.9500,8.8900,3.0450,-0.82070,-0.23287,1.12114,-169.826,10.977,-77.560
26936.879894,0.00837,0.13280,-10.09173,-12.9850,8.9250,3.0800,-0.82070,-0.23287,1.12114,-170.189,10.677,-77.649
26936.879894,0.00957,0.12562,-10.08335,-12.9325,8.9950,3.0975,-0.82070,-0.23287,1.12114,-170.542,10.381,-77.734
